player_id,firstname,surname
1011023,Zac,Lomax
1011024,Jackson,Ford
1011025,Jesse,Arthars
1011028,Ky,Rodwell
1011029,Mawene,Hiroti
1011032,Dean,Hawkins
1011034,Sitili,Tupouniua
1011035,Sean,O'Sullivan
1011036,Josh,Curran
1011038,King,Vuniyayawa
1011039,Chanel,Harris-Tavita
1011040,Haze,Dunster
1011041,Tyson,Gamble
1012211,Liam,Martin
1012706,Moeaki,Fotuaika
1012925,Kotoni,Staggs
1013034,Emre,Guler
1013240,Reed,Mahoney
1013317,Billy,Smith
1013318,Manase,Fainu
1013449,Caleb,Aekins
1013450,Patrick,Carrigan
1013520,Sione,Katoa
1013613,Oregon,Kaufusi
1014350,David,Fifita
1014503,Phoenix,Crossland
1014504,Tom,Flegler
1014505,Tom,Dearden
1014508,Seb,Kris
1014509,Corey,Horsburgh
1014510,Hudson,Young
1014512,Zac,Saddler
1014513,Brandon,Wakeham
1014514,Bronson,Xerri
1014517,Cade,Cust
1014519,Beau,Fermor
1014520,Dan,Russell
1014522,Murray,Taulagi
1014524,Reuben,Cotter
1014525,Tom,Gilbert
1014526,Maika,Sivo
1014527,Dylan,Brown
1014528,Andrew,Davey
1014529,Stefano,Utoikamanu
1014531,Corey,Allan
1014532,Jason,Saab
1014534,Egan,Butcher
1014535,Sam,McIntyre
1014536,Thomas,Mikaele
1014567,Asu,Kepaoa
1015573,Bailey,Simonsson
1015574,JJ,Collins
1016083,Izaia,Perese
1016084,Peter,Hola
1016344,Sam,Verrills
1016793,Ronaldo,Mulitalo
1016995,Cory,Paix
1017153,Brian,To'o
1017273,Mitch,Kenny
1017275,Haumole,Olakau'atu
1017453,Keaon,Koloamatangi
1017544,Jackson,Frei
1018053,Xavier,Coates
1018094,Tex,Hoy
1018095,Herbie,Farnworth
1018096,Keenan,Palasia
1018244,Stephen,Crichton
1018245,Adam,Pompey
1018246,Tommy,Talau
1018247,Tanah,Boyd
1018248,Ethan,Parry
1018303,Spencer,Leniu
1018343,Jirah,Momoisea
1018344,Chris,Randall
1018345,Max,Bailey
1018383,Matt,Burton
1018384,Treymain,Spry
1018453,Sean,Keppie
1018454,Billy,Burns
1018455,Morgan,Harper
1018493,Tesi,Niu
1018494,Bradman,Best
1018533,Isaiah,Tass
1018534,Starford,To'a
1019536,Ethan,Bullemor
1019537,Jordan,Riki
1019538,Kobe,Hetherington
1019539,Pride,Petterson-Robati
1019540,Jake,Averillo
1019542,Tuipolotu,Katoa
1019544,James,Roumanos
1019545,Matt,Doorey
1019546,Hamiso,Tabuai-Fidow
1019547,Connelly,Lemuelu
1019548,Ben,Condon
1019550,Tuki,Simpkins
1019551,Wiremu,Greig
1019552,Jayden,Sullivan
1019553,Mat,Feagai
1019554,Max,Feagai
1019556,Eddie,Blacker
1019558,Samuel,Hughes
1019560,Mat,Croker
1019562,Brayden,McGrady
1019564,Shawn,Blore
1019565,Jaxson,Paulo
1019567,Harley,Smith-Shields
1019569,Jarrett,Subloo
1019570,Matthew,Timoko
1019571,Semi,Valemei
1019572,Dan,Keir
1019573,Darby,Medlyn
1019574,Kai,O'Donnell
1019576,Christian,Tuipolotu
1019578,Sam,Walker
1019580,Fletcher,Baker
1019581,Freddy,Lussick
1019582,Luca,Moretti
1019584,Luke,Metcalf
1019587,Braydon,Trindall
1019588,Jackson,Ferris
1019589,Teig,Wilton
1019590,Darryn,Schonig
1019591,Kelma,Tuilagi
1019592,Jock,Madden
1019593,Reece,Hoffman
1019594,Zachary,Cini
1019595,Alex,Seyfarth
1019596,Jake,Simpkin
1019597,Kane,Bradley
1019600,Hayze,Perham
1019601,Paul,Turner
1019602,Eliesa,Katoa
1019613,Jamayne,Taunoa-Brown
1019895,Brendon,Hands
1019897,Blake,Taaffe
1020463,Charlie,Staines
1020658,Lindsay,Smith
1020659,Daejarn,Asi
1021205,Tom,Ale
1021254,Josh,Schuster
1021284,Ben,Trbojevic
1021285,Cody,Ramsey
1021313,Toby,Sexton
1021314,Rocco,Berry
1021323,Adam,Cook
1021324,Ata,Mariota
1021325,Dean,Ieremia
1021326,Trent,Loiero
1021745,Dominic,Young
1021747,Harry,Rushton
1021748,Daniel,Suluka-Fifita
1021749,Joseph-Aukuso,Suaalii
1021750,Tolu,Koula
1021751,Franklin,Pele
1021752,Jensen,Taumoepeau
1021753,Jack,Howarth
1021754,Greg,Marzhew
1022033,Jackson,Topine
1022681,Tyson,Smoothy
1022682,Simi,Sasagi
1022684,J'maine,Hopgood
1022760,Tuku,Hau Tapuha
1023280,Griffin,Neame
1023281,Ben,Marschke
1023303,Taniela,Otukolo
1023443,Jesse,Marschke
1023463,Aaron,Schoupp
1023552,Will,Penisini
1023553,Reece,Walsh
1023577,Edward,Kosi
1023583,Talatau,Amone
1023613,Naufahu,Whyte
1023614,Jayden,Campbell
1023615,Brendan,Piakura
1023683,Jake,Arthur
1023703,Heilum,Luki
1023713,Jaiyden,Hunt
1023714,TC,Robati
1023715,Brad,Schneider
1023863,Selwyn,Cobbo
1023864,Izack,Tago
1023865,Elijah,Anderson
1023893,Sunia,Turuva
1023894,Kurt,Falls
1023974,Ben,Thomas
1023975,Peter,Mamouzelos
1024033,Tyrell,Sloan
1024034,Xavier,Savage
1024035,Sean,Russell
1024045,Daine,Laurie
1024143,Taylan,May
1024144,Falakiko,Manu
1024145,Bailey,Biondi-Odo
1024146,Chris,Patolo
1024167,Xavier,Willison
1024169,Trey,Mooney
1024170,Davvy,Moale
1024254,Moala,Graham-Taufa
1024255,Viliami,Vailea
1024313,Jeremiah,Nanai
1024314,Laitia,Moceidreke
1024393,Daniel,Atkinson
1024394,Samuel,Loizou
1024395,Lachlan,Ilias
1025363,Alofi'ana,Khan-Pereira
1025364,Ezra,Mam
1025365,Paul,Alamoti
1025367,Riley,Price
1025372,Jacob,Kiraz
1025373,Krystian,Mapapalangi
1025374,Leo,Thompson
1025375,Chris,Vea'ila
1025376,Mavrick,Geyer
1025377,Thomas,Jenkins
1025378,Preston,Riki
1025379,Zane,Bijorac
1025381,Brad,Morkos
1025383,Ronald,Volkman
1025384,Gordon,Chan Kum Tong
1025385,Sione,Fainu
1025386,Jamie,Humphreys
1025387,Alec,Tuitavake
1025388,Kaeo,Weekes
1025389,Kade,Dykes
1025391,Lachlan,Miller
1025392,Ryan,Rivett
