"","player_id","firstname","surname"
"283",31885,"Tim","Glasby"
"284",31886,"Kirisome","Auva'a"
"285",31888,"Kurt","Mann"
"286",31890,"Young","Tonumaipea"
"287",31894,"Tyler","Randell"
"288",31895,"Nathan","Ross"
"289",31896,"Paterika","Vaivai"
"290",31897,"Matt","Eisenhuth"
"291",31898,"Kenny","Edwards"
"292",31901,"Semi","Radradra"
"293",31902,"Brayden","Wiliame"
"294",31903,"Vai","Toutai"
"295",31911,"Luke","Keary"
"296",31912,"Api","Koroisau"
"297",31915,"Tom","Burgess"
"298",31917,"Damien","Cook"
"299",31921,"Adam","Quinlan"
"300",31924,"Dylan","Napa"
"301",31926,"Cameron","Cullen"
"302",31928,"Jake","Granville"
"303",31930,"Corey","Oates"
"304",31932,"Francis","Molo"
"305",990750,"Dylan","Walker"
"306",990973,"Kyle","Turner"
"307",991236,"Ashley","Taylor"
"308",991249,"Jai","Arrow"
"309",991252,"Jayden","Berrell"
"310",991253,"Joe","Ofahengaue"
"311",991256,"Kodi","Nikorima"
"312",991257,"Kurt","Capewell"
"313",991264,"Tom","Opacic"
"314",991267,"Adam","Elliott"
"315",991272,"Danny","Fualalo"
"316",991280,"Herman","Ese'ese"
"317",991282,"Jaelen","Feeney"
"318",991288,"Lloyd","Perrett"
"319",991290,"Makahesi","Makatoa"
"320",991293,"Moses","Mbye"
"321",991295,"Pio","Seci"
"322",991300,"Lachlan","Burr"
"323",991301,"Paul","Carter"
"324",991305,"Edward","Murphy"
"325",991307,"Anthony","Milford"
"326",991310,"Brenko","Lee"
"327",991319,"Jonathon","Reuben"
"328",991324,"Matt","Frawley"
"329",991325,"Mitchell","Barnett"
"330",991326,"Mitchell","Cornish"
"331",991328,"Patrick","Mago"
"332",991338,"Matthew","Allwood"
"333",991347,"Corey","Jensen"
"334",991357,"Javid","Bowen"
"335",991364,"Patrick","Kaufusi"
"336",991375,"Zac","Santo"
"337",991379,"Hymel","Hunt"
"338",991386,"Jamal","Fogarty"
"339",991388,"Kane","Elgey"
"340",991409,"Jacob","Gagan"
"341",991411,"Peta","Hiku"
"342",991413,"Ligi","Sao"
"343",991414,"Jesse","Sene-Lefao"
"344",991420,"Clint","Gutherson"
"345",991421,"Matt","Ikuvalu"
